st_case,state,year,month,day,day_week,hour,minute,county,city,fatals_crash,vehicles_total,vehicles_in_transport,persons_total,route,rural_urban,functional_system,road_owner,nhs,special_jurisdiction,milepoint,latitude,longitude,first_harmful_event,manner_collision,rel_jct_interchange,rel_jct_location,intersection_type,relation_to_road,work_zone,light_condition,weather,school_bus_related,ems_notified_hour,ems_notified_min,ems_arrival_hour,ems_arrival_min,hospital_hour,hospital_min
10078,1,2020,2,11,3,17,45,77,0,1,2,2,4,4,1,7,2,0,0,0,34.90070278,-87.47831667,12,6,0,2,2,1,0,2,2,0,17,45,17,46,,
10079,1,2020,2,12,4,19,10,113,0,1,2,2,2,2,2,3,1,1,0,1090,32.41121667,-85.04750278,12,6,0,2,3,1,0,3,10,0,19,10,19,20,,
10080,1,2020,2,12,4,19,9,71,0,1,2,2,3,2,2,3,1,1,0,1306,34.61964167,-86.13480556,12,2,0,1,1,1,0,2,2,0,19,9,19,15,,
10081,1,2020,2,13,5,4,0,59,0,1,1,1,1,3,1,4,1,0,0,108,34.38554167,-87.63837222,42,0,0,1,1,4,0,2,2,0,4,0,4,10,,
10082,1,2020,2,14,6,3,0,69,0,1,1,1,1,2,1,3,1,1,0,1981,31.2421,-85.58913333,34,0,0,1,1,4,0,2,1,0,,,,,,
10083,1,2020,2,14,6,7,30,83,9997,1,1,1,1,4,1,5,2,0,0,0,34.59944167,-86.79354167,42,0,0,1,1,4,0,1,1,0,7,30,7,37,,
10084,1,2020,2,14,6,11,33,25,1760,1,2,2,6,2,1,3,1,1,0,623,31.53880833,-87.88701389,12,6,0,2,3,1,0,1,1,0,11,33,11,46,,
10085,1,2020,2,15,7,6,25,33,0,1,1,1,1,4,1,6,2,0,0,0,34.83075278,-87.97306667,42,0,0,1,1,4,0,4,1,0,6,37,7,10,,
10086,1,2020,2,17,2,13,18,121,2910,1,1,1,1,6,2,5,4,0,0,0,33.39946389,-86.08250556,34,0,0,1,1,4,0,9,99,0,13,20,13,27,,
10087,1,2020,2,20,5,0,30,33,2780,1,1,1,1,2,2,3,1,1,0,302,34.76981667,-87.666725,24,0,0,1,1,3,0,3,10,0,,,1,0,,
