st_case,veh_no,per_no,person_type,inj_sev,seat_pos,rest_use,air_bag,ejection,doa,make,car_year,model,body_class,min_veh_weight,max_veh_weight,fatal,num_occupants,deaths_in_vehicle,vehicle_age,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour,drive_type_id,drive_train,overall_front_safetyrating,front_passenger_safetyrating,front_driver_safetyrating,rollover_risk,curb_weight,car_height,car_width,car_length
10109,1,1,1,4,11,NA,1,0,7,PORSCHE,2005,CAYENNE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,1,1,1,18,2,4,12,2,23,23,NA,NA,NA,NA,NA,0,2325,1699,1928,4786
10110,1,1,1,0,11,3,NA,0,0,INFINITI,2010,G37,Sedan/Saloon,11,11,0,1,0,13,1,2,12,1,14,14,7,RWD,NA,NA,NA,0,1646,1392,1821,4656
10111,1,1,1,3,11,20,NA,0,0,CHEVROLET,1998,CAMARO,Coupe,11,11,0,1,0,25,1,3,12,1,1,1,NA,NA,NA,5,4,0,1565,1300,1888,4900
10112,1,1,1,0,11,3,NA,0,0,GMC,2015,YUKON,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,1,0,8,1,1,8,0,2,2,2,4WD,5,5,5,0.222,2583,1890,2045,5179
10115,1,1,1,0,11,3,20,0,0,HONDA,2004,ACCORD,Sedan/Saloon,11,11,0,1,0,19,1,1,8,0,20,20,NA,NA,NA,5,5,0,1415,1440,1811,4813
10116,1,1,1,4,11,3,1,0,7,FORD,2004,TAURUS,Sedan/Saloon,11,11,1,1,1,19,1,2,12,2,15,16,NA,NA,NA,5,4,0,1515,1407,1854,5080
10119,1,1,1,4,11,20,NA,1,7,FORD,1997,TAURUS,Sedan/Saloon,11,11,1,1,1,26,1,1,34,0,14,15,NA,NA,NA,4,4,0,1530,1382,1857,5050
10121,1,1,1,4,11,20,1,0,7,HONDA,1997,ACCORD,Sedan/Saloon,11,11,1,1,1,26,1,3,12,2,6,7,NA,NA,NA,3.5,4,0,1315,1384,1730,4704
10127,1,1,1,4,11,3,1,0,7,FORD,2000,MUSTANG,Coupe,11,11,1,2,2,23,2,4,12,6,12,12,NA,NA,NA,4,4,0,1485,1349,1857,4653
10127,1,2,2,4,13,3,1,0,7,FORD,2000,MUSTANG,Coupe,11,11,1,2,2,23,2,4,12,6,12,12,NA,NA,NA,4,4,0,1485,1349,1857,4653
10131,1,1,1,0,11,3,1,0,0,MERCURY,2002,GRAND MARQUIS,Sedan/Saloon,11,11,0,1,0,21,1,1,8,0,19,19,NA,NA,NA,5,5,0,1814,1445,1979,5385
10133,1,1,1,4,11,NA,20,0,0,TOYOTA,1995,COROLLA,Sedan/Saloon,11,11,1,1,1,28,1,2,12,1,5,5,NA,NA,NA,4,4,0,1040,1380,1685,4315
10135,2,1,1,4,11,3,1,0,7,LINCOLN,2001,TOWN CAR,Sedan/Saloon,11,11,1,1,1,22,1,2,12,2,12,12,NA,NA,NA,5,5,0,1908,1491,1986,5469
10140,1,1,1,4,11,3,1,0,7,CHEVROLET,2001,MALIBU,Sedan/Saloon,11,11,1,1,1,22,1,3,12,6,17,17,NA,NA,NA,4,4,0,1394,1438,1763,4836
10140,3,1,1,0,11,3,20,0,0,LAND ROVER,2005,LR3,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,1,0,18,1,3,12,6,17,17,NA,NA,NA,NA,NA,0,2530,1887,1915,4835
10144,1,1,1,3,11,20,20,0,0,BUICK,2000,LESABRE,Sedan/Saloon,11,11,0,NA,NA,NA,1,2,30,0,11,11,NA,NA,NA,5,5,0,1629,1448,1867,5080
10144,1,2,2,4,13,3,20,0,7,BUICK,2000,LESABRE,Sedan/Saloon,11,11,1,NA,NA,NA,1,2,30,0,11,11,NA,NA,NA,5,5,0,1629,1448,1867,5080
10147,1,1,1,4,11,20,1,0,7,CHEVROLET,2005,IMPALA,Sedan/Saloon,11,11,1,1,1,18,1,2,12,2,0,0,NA,NA,NA,5,5,0,1578,1433,1854,5080
