st_case,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour
10610,1,2,12,6,12,13
10611,1,1,34,0,15,16
10612,1,2,12,2,16,16
10613,3,4,12,6,15,16
10614,1,1,32,0,3,
10615,1,3,42,0,4,5
10616,1,1,8,0,12,12
10617,1,1,30,0,12,12
10618,1,1,33,0,0,0
10619,2,2,12,2,5,5
10620,1,2,12,6,13,13
10621,1,1,42,0,14,14
10622,1,2,14,0,15,
10623,1,2,12,2,12,12
10625,1,2,19,0,23,23
10626,1,1,35,0,1,1
10627,1,2,34,0,13,14
10628,1,1,59,0,2,7
10629,1,3,12,6,12,12
10630,1,4,12,1,17,17
10631,1,1,34,0,12,12
10632,1,2,12,6,15,15
10633,1,1,8,0,4,5
10634,1,1,30,0,22,22
10635,1,1,8,0,12,12
10636,1,1,35,0,3,3
10637,1,1,35,0,12,13
10638,1,4,12,6,18,18
10639,1,2,1,0,17,18
10640,1,4,12,6,16,16
10641,1,1,32,0,18,18
10642,1,1,34,0,0,0
10643,1,1,34,0,14,14
10644,1,2,8,0,5,5
10645,1,7,12,2,7,
10646,1,3,12,6,4,4
10647,1,2,1,0,17,
10648,1,1,42,0,0,0
10649,1,1,42,0,0,
10650,1,2,12,2,18,19
10651,1,5,12,6,12,13
10652,1,2,12,2,19,19
10653,1,1,42,0,7,7
10654,1,5,12,6,16,16
10655,2,5,12,6,5,6
10656,1,2,8,0,17,17
10657,1,1,35,0,19,19
10658,1,3,12,6,6,6
10659,1,3,38,0,15,16
10660,2,7,12,8,22,22
10661,1,1,42,0,13,
10662,1,1,19,0,13,13
10663,1,1,8,0,22,23
10664,1,1,42,0,8,8
10665,1,2,42,0,0,0
10666,1,1,42,0,20,21
10667,1,7,12,6,21,21
10668,1,1,17,0,5,8
10669,2,4,12,2,18,
10670,1,4,8,0,17,17
10671,1,1,59,0,2,2
10672,1,1,42,0,7,7
10673,1,1,34,0,18,20
10674,1,7,12,1,14,15
10675,1,1,34,0,22,9
10676,1,1,1,0,3,9
10677,1,2,12,2,7,
10678,1,13,12,2,16,16
10679,1,5,12,2,19,19
10680,1,3,32,0,2,4
10681,1,3,12,6,15,15
10682,1,1,24,0,22,22
10683,1,1,8,0,16,16
10684,1,2,12,2,15,15
10685,1,1,19,0,21,21
10686,1,4,12,6,15,16
10687,1,3,12,6,5,5
10688,1,2,52,0,13,14
10689,1,3,53,0,15,16
10690,1,1,52,0,13,13
10691,1,2,12,1,14,14
10692,1,1,25,0,7,7
10693,1,1,8,0,6,6
10694,2,3,14,0,11,11
10695,1,2,34,0,18,18
10696,1,3,1,0,6,6
10697,1,2,12,7,23,9
10698,1,9,26,0,20,20
10699,1,4,12,1,8,8
10700,1,3,14,0,3,3
10701,1,3,30,0,15,15
10702,1,2,30,0,18,18
10703,1,6,12,7,19,19
10704,1,1,30,0,2,2
10705,1,1,8,0,18,18
10706,1,1,33,0,16,16
10707,1,3,12,6,17,17
10708,1,2,12,6,16,16
10709,1,1,1,0,0,1
10710,1,1,1,0,5,6
10711,1,1,58,0,2,2
10712,1,1,8,0,8,8
10713,1,1,1,0,22,
10714,1,3,12,6,18,18
10715,1,1,8,0,21,21
10716,1,1,1,0,17,17
10717,1,3,12,2,9,10
10718,1,1,8,0,1,1
10719,1,4,1,0,8,
10720,1,1,8,0,12,
10721,1,2,12,2,5,
10722,2,3,12,6,20,20
10723,1,1,18,0,5,5
10724,1,2,34,0,22,22
10725,1,5,53,0,22,22
10726,1,1,42,0,0,0
10727,1,2,12,2,18,19
10728,1,1,30,0,21,22
10729,1,1,32,0,21,21
10730,2,3,12,1,15,15
10731,3,4,12,6,5,5
10732,1,3,32,0,0,0
